date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2001-07-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.34
2001-08-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.39
2001-08-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.35
2001-09-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.39
2001-09-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.35
2001-10-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.35
2001-10-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.39
2001-11-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.38
2001-11-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.35
2001-12-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.38
2001-12-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.35
